c_length,c_rating
312,642
2618,721
39,685
2288,830
15,496
487,571
411,690
150,691
300,566
32,495
120,446
172,406
1400,752
25,612
14,547
245,561
90,610
2361,657
155,695
375,555
387,710
248,682
1065,679
328,691
37,673
750,729
205,699
1141,726
1075,660
750,758
130,661
15,568
1080,813
2220,707
1200,743
108,656
931,803
726,769
25,523
664,617
75,657
164,666
641,629
360,584
765,724
798,684
272,694
1032,789
690,704
174,754
767,611
190,727
300,685
480,762
79,577
384,665
1724,756
1350,761
148,767
158,613
4207,785
886,772
1895,833
3000,748
2279,693
306,637
222,750
408,702
5611,832
362,572
957,758
125,658
11,531
339,732
8,400
12,604
7,534
1650,711
1065,739
180,555
900,579
601,741
2148,783
4650,871
60,590
2618,818
720,702
168,750
5340,862
1500,823
1987,845
1372,704
780,718
4556,887
5204,757
1146,674
830,737
1866,771
800,665
1800,778
88,574
464,509
505,673
91,662
3068,814
180,670
25,578
778,630
1846,814
18,455
43,556
360,573
770,645
1820,787
3000,861
3902,883
276,754
1094,697
232,764
435,717
1746,677
1020,611
1425,705
2094,807
2752,706
4117,780
3677,748
2618,759
370,789
1440,687
1388,756
2580,787
300,758
840,604
2100,632
968,590
941,681
570,589
1162,658
628,530
510,561
548,644
4050,777
240,416
568,614
1492,767
525,606
498,549
604,563
570,610
240,532
580,565
410,644
675,616
1484,702
420,577
70,437
630,778
538,668
415,647
1466,733
1770,703
900,731
1538,716
720,721
1570,701
720,684
2468,690
536,664
2520,755
1875,758
27,528
9,478
25,667
1060,669
2470,746
1095,699
1575,731
1055,727
1170,642
18,537
862,709
2457,678
60,555
31,595
28,530
44,601
498,731
458,671
4200,737
1703,746
1680,713
1298,734
2550,808
1704,769
1332,753
900,750
455,729
2745,714
2517,751
1548,667
1223,776
1818,710
1500,762
2212,771
820,708
784,775
450,724
2400,829
1500,712
1407,751
1129,707
1500,754
2040,726
1200,714
1200,790
1740,703
1350,724
3550,835
720,717
2653,763
1764,760
1864,748
87,541
4800,813
180,629
3420,753
3900,874
5,458
3480,812
1620,712
1159,805
1125,708
2040,741
900,736
12,546
1805,697
840,658
1527,737
2700,760
1305,760
3114,763
1051,752
266,639
3452,803
411,726
1346,590
1567,771
706,747
300,556
1125,757
1200,759
1357,856
375,654
525,580
690,646
570,712
3182,730
233,555
45,523
456,689
1046,663
4620,853
488,677
525,701
675,668
2386,813
2500,747
1350,719
826,757
1200,687
1560,803
1095,681
1832,755
360,734
3000,700
2700,681
2310,791
1725,764
2491,756
600,649
600,554
202,348
1860,710
1987,770
780,731
330,656
212,651
192,656
178,669
180,716
2025,788
735,625
1259,730
1350,680
1230,769
1364,752
254,532
7050,802
76,576
1207,686
1800,763
750,755
2700,779
1596,766
1680,692
1838,696
1707,694
1058,810
3834,834
900,658
1200,753
1915,764
24,547
612,726
1260,663
2145,744
1178,710
1762,747
69,419
1782,744
712,791
301,687
2340,809
1950,703
356,678
600,759
8,525
62,658
3000,814
648,641
2658,746
1298,683
1892,732
1508,692
51,662
248,613
1388,840
900,704
720,690
846,741
110,682
1432,770
804,779
900,572
2800,756
225,545
1200,719
615,664
81,437
1393,745
150,662
124,566
1134,700
1004,698
3450,778
199,360
464,594
2100,616
100,502
2510,714
66,565
1229,783
506,747
1442,759
780,688
1585,662
137,526
46,575
1410,721
1253,654
1080,693
565,692
810,653
1539,687
990,565
1380,684
1982,764
776,754
3532,866
1875,666
681,701
318,537
1500,786
615,620
2594,902
4408,899
683,681
1068,775
1048,625
210,532
216,534
450,580
442,692
1200,736
412,693
1100,734
66,599
1080,728
250,597
570,722
2122,694
300,555
110,544
342,666
2097,766
638,704
300,638
552,655
510,692
360,597
202,674
1516,741
447,790
430,573
1800,703
320,553
1141,623
300,692
642,654
525,639
1200,665
285,599
736,675
1160,721
1219,759
2460,713
862,714
5134,823
379,736
238,626
525,650
1602,751
1434,674
2144,742
1603,723
525,777
327,593
253,556
1500,717
112,386
195,662
145,516
3453,770
1710,729
993,704
1781,721
1293,828
1500,673
1016,599
360,678
1975,754
597,663
100,633
946,699
5,499
27,360
1500,746
1623,735
675,655
630,683
480,689
735,657
97,555
600,677
646,651
26,486
306,578
1140,710
1958,709
351,676
2,412
15,457
414,662
1474,669
3736,880
1125,692
891,762
1129,752
3340,819
1710,739
315,743
900,733
2532,798
718,706
1824,816
1950,751
360,642
450,554
2700,742
44,507
1181,555
1001,612
3,473
2100,732
1212,694
750,699
1108,736
1050,639
600,708
250,590
2201,649
148,462
664,556
393,740
48,556
92,670
1380,659
3280,772
1500,723
113,606
2667,710
840,794
106,702
300,753
341,555
1243,671
135,561
2014,845
1462,811
540,716
1500,798
35,348
322,776
338,566
1560,717
1425,670
255,529
862,722
850,664
1392,708
1500,701
225,689
6100,814
1100,677
780,713
178,549
975,688
2004,745
2400,745
450,785
140,661
292,721
150,684
1800,746
2400,712
30,572
1007,745
1528,789
16,603
7200,812
1008,736
1875,716
300,708
2648,769
3794,837
2502,755
290,633
766,665
1187,794
2400,655
1020,734
2805,749
2342,819
2891,673
163,707
1460,713
1896,703
635,694
300,590
440,657
457,686
912,762
225,619
193,543
262,638
2231,743
956,770
1680,717
2770,844
1549,728
1320,745
220,559
4125,824
360,559
360,654
4815,795
1398,769
2037,821
2537,788
254,600
1322,724
1538,714
2355,701
1650,685
370,734
37,433
20,549
1987,743
254,686
1836,685
1003,723
1990,759
1771,806
50,712
11,507
1624,767
60,598
1200,725
1770,719
90,643
3871,695
200,523
31,715
600,733
1980,762
1650,702
1680,748
182,660
2400,810
830,593
1726,697
1819,738
3826,778
1716,804
1554,806
300,667
988,725
10,522
480,706
1560,731
2625,776
521,745
630,735
1417,758
317,570
1976,720
1356,696
2220,662
553,727
1365,708
1065,800
1260,704
480,611
576,636
1648,703
355,703
918,759
710,750
358,550
1425,813
2468,791
335,622
1950,761
480,531
212,593
1880,722
131,707
1950,751
404,680
414,653
138,604
135,425
765,681
1665,718
1740,793
780,734
53,589
1065,768
3000,664
3697,769
46,662
3782,764
2442,726
2996,717
1530,695
2318,763
471,690
2400,742
1010,672
420,542
720,696
315,729
1820,750
3632,745
1001,628
456,747
150,651
1125,753
316,559
1508,761
262,663
233,719
55,570
780,617
146,613
137,649
1828,715
1917,754
504,719
1250,720
1200,708
1633,710
50,704
56,574
43,522
1020,712
2370,844
2008,710
2205,769
150,631
522,731
582,646
60,593
22,482
2970,756
750,727
142,741
1260,721
2252,733
2325,807
3270,800
225,582
316,623
372,568
1901,718
2640,731
1658,737
778,673
1450,737
1950,613
1195,701
280,594
1933,789
107,689
420,730
1180,796
1380,738
741,721
273,651
1800,669
1500,759
150,590
840,669
1728,713
182,571
2280,796
1090,794
20,541
909,741
600,723
1736,782
1560,716
412,714
468,691
2565,733
922,645
638,713
2790,742
1020,762
1350,727
2040,729
2422,738
1624,696
1140,765
510,704
1747,784
122,688
680,741
290,630
1018,714
1080,796
450,723
1222,723
900,702
276,555
1145,717
586,675
138,803
60,550
1875,739
3232,767
240,696
981,711
2310,748
1125,733
249,633
193,657
295,601
2168,709
3000,773
4019,842
1440,713
660,663
810,733
799,696
5115,790
1366,738
5625,799
15,581
462,694
630,642
15,517
1620,714
642,592
2348,770
146,648
138,591
240,618
190,687
1849,664
633,708
240,650
499,679
3218,759
472,751
1434,703
1510,715
264,611
3000,674
1426,705
3600,778
2217,609
1737,813
4225,822
70,593
900,728
133,660
